Generator,Date,Hour,Market,Power 0 [MW],Cost 0 [$],Power 1 [MW],Cost 1 [$],Power 2 [MW],Cost 2 [$],Power 3 [MW],Cost 3 [$],Power 4 [MW],Cost 4 [$],Power 5 [MW],Cost 5 [$],Power 6 [MW],Cost 6 [$],Power 7 [MW],Cost 7 [$],Power 8 [MW],Cost 8 [$],Power 9 [MW],Cost 9 [$]
10_STEAM,2020-07-10,13,Day-ahead,30,905.0000001,45.300000032,1125.3599999628836,60.700000036,1389.9699999936136,76.0,1669.7099999364018,,,,,,,,,,,,
10_STEAM,2020-07-10,14,Day-ahead,30,905.0000001,45.300000032,1125.3599999628836,60.700000036,1389.9699999936136,76.0,1817.2989989881335,,,,,,,,,,,,
10_STEAM,2020-07-10,15,Day-ahead,30,905.0000001,45.300000032,1125.3599999628836,60.700000036,1389.9699999936136,76.0,1823.2659989740937,,,,,,,,,,,,
10_STEAM,2020-07-10,16,Day-ahead,30,905.0000001,45.300000032,1125.3599999628836,60.700000036,1389.9699999936136,76.0,1669.7099999364018,,,,,,,,,,,,
10_STEAM,2020-07-10,17,Day-ahead,30,905.0000001,45.300000032,1125.3599999628836,60.700000036,1389.9699999936136,76.0,3238.2099956448137,,,,,,,,,,,,
10_STEAM,2020-07-10,18,Day-ahead,30,905.0000001,45.300000032,1125.3599999628836,60.700000036,1389.9699999936136,76.0,4510.251992651773,,,,,,,,,,,,
10_STEAM,2020-07-10,19,Day-ahead,30,905.0000001,45.300000032,1125.3599999628836,60.700000036,1389.9699999936136,76.0,1669.7099999364018,,,,,,,,,,,,
10_STEAM,2020-07-10,20,Day-ahead,30,905.0000001,45.300000032,1125.3599999628836,60.700000036,1389.9699999936136,76.0,2364.273997701134,,,,,,,,,,,,
10_STEAM,2020-07-10,21,Day-ahead,30,905.0000001,45.300000032,1125.3599999628836,60.700000036,1389.9699999936136,76.0,1869.6249988650136,,,,,,,,,,,,
10_STEAM,2020-07-10,22,Day-ahead,30,905.0000001,45.300000032,1125.3599999628836,60.700000036,1389.9699999936136,76.0,1669.7099999364018,,,,,,,,,,,,
10_STEAM,2020-07-10,23,Day-ahead,30,905.0000001,45.300000032,1125.3599999628836,60.700000036,1389.9699999936136,76.0,1669.7099999364018,,,,,,,,,,,,
10_STEAM,2020-07-10,24,Day-ahead,30,905.0000001,45.300000032,1125.3599999628836,60.700000036,1389.9699999936136,76.0,1669.7099999364018,,,,,,,,,,,,
10_STEAM,2020-07-10,25,Day-ahead,30,905.0000001,45.300000032,1125.3599999628836,60.700000036,1389.9699999936136,76.0,1809.1899990072136,,,,,,,,,,,,
10_STEAM,2020-07-10,26,Day-ahead,30,905.0000001,45.300000032,1125.3599999628836,60.700000036,1389.9699999936136,76.0,1669.7099999364018,,,,,,,,,,,,
10_STEAM,2020-07-10,27,Day-ahead,30,905.0000001,45.300000032,1125.3599999628836,60.700000036,1389.9699999936136,76.0,1669.7099999364018,,,,,,,,,,,,
10_STEAM,2020-07-10,28,Day-ahead,30,905.0000001,45.300000032,1125.3599999628836,60.700000036,1389.9699999936136,76.0,1669.7099999364018,,,,,,,,,,,,
10_STEAM,2020-07-10,29,Day-ahead,30,905.0000001,45.300000032,1125.3599999628836,60.700000036,1389.9699999936136,76.0,1669.7099999364018,,,,,,,,,,,,
10_STEAM,2020-07-10,30,Day-ahead,30,905.0000001,45.300000032,1125.3599999628836,60.700000036,1389.9699999936136,76.0,1669.7099999364018,,,,,,,,,,,,
10_STEAM,2020-07-10,31,Day-ahead,30,905.0000001,45.300000032,1125.3599999628836,60.700000036,1389.9699999936136,76.0,1669.7099999364018,,,,,,,,,,,,
10_STEAM,2020-07-10,32,Day-ahead,30,905.0000001,45.300000032,1125.3599999628836,60.700000036,1389.9699999936136,76.0,1739.2689991717336,,,,,,,,,,,,
10_STEAM,2020-07-10,33,Day-ahead,30,905.0000001,45.300000032,1125.3599999628836,60.700000036,1389.9699999936136,76.0,1669.7099999364018,,,,,,,,,,,,
10_STEAM,2020-07-10,34,Day-ahead,30,905.0000001,45.300000032,1125.3599999628836,60.700000036,1389.9699999936136,76.0,1838.5659989380936,,,,,,,,,,,,
10_STEAM,2020-07-10,35,Day-ahead,30.0,412.5,45.300000032,632.8599998628837,60.700000036,897.4699998936135,76.0,1177.2099998364017,,,,,,,,,,,,
10_STEAM,2020-07-10,36,Day-ahead,30,905.0000001,45.300000032,1125.3599999628836,60.700000036,1389.9699999936136,76.0,1669.7099999364018,,,,,,,,,,,,
10_STEAM,2020-07-10,37,Day-ahead,30,905.0000001,45.300000032,1125.3599999628836,60.700000036,1389.9699999936136,76.0,1690.1559992872935,,,,,,,,,,,,
10_STEAM,2020-07-10,38,Day-ahead,30,905.0000001,45.300000032,1125.3599999628836,60.700000036,1389.9699999936136,76.0,1669.7099999364018,,,,,,,,,,,,
10_STEAM,2020-07-10,39,Day-ahead,30,905.0000001,45.300000032,1125.3599999628836,60.700000036,1389.9699999936136,76.0,1669.7099999364018,,,,,,,,,,,,
10_STEAM,2020-07-10,40,Day-ahead,30,905.0000001,45.300000032,1125.3599999628836,60.7,1977.749998191684,76.0,2824.604998191684,,,,,,,,,,,,
10_STEAM,2020-07-10,41,Day-ahead,30,905.0000001,45.300000032,1125.3599999628836,60.700000036,1389.9699999936136,76.0,2799.0999966780137,,,,,,,,,,,,
10_STEAM,2020-07-10,42,Day-ahead,30,905.0000001,45.300000032,1125.3599999628836,60.700000036,1389.9699999936136,76.0,1669.7099999364018,,,,,,,,,,,,
10_STEAM,2020-07-10,43,Day-ahead,30,905.0000001,45.300000032,1125.3599999628836,60.700000036,1389.9699999936136,76.0,1905.4269987807736,,,,,,,,,,,,
10_STEAM,2020-07-10,44,Day-ahead,30,905.0000001,45.300000032,1125.3599999628836,60.700000036,1389.9699999936136,76.0,1669.7099999364018,,,,,,,,,,,,
10_STEAM,2020-07-10,45,Day-ahead,30,905.0000001,45.300000032,1125.3599999628836,60.700000036,1389.9699999936136,76.0,1669.7099999364018,,,,,,,,,,,,
10_STEAM,2020-07-10,46,Day-ahead,30,905.0000001,45.300000032,1125.3599999628836,60.700000036,1389.9699999936136,76.0,1669.7099999364018,,,,,,,,,,,,
10_STEAM,2020-07-10,47,Day-ahead,30,905.0000001,45.300000032,1125.3599999628836,60.700000036,1389.9699999936136,76.0,1810.7199990036136,,,,,,,,,,,,
10_STEAM,2020-07-10,48,Day-ahead,30,905.0000001,45.300000032,1125.3599999628836,60.700000036,1389.9699999936136,76.0,1669.7099999364018,,,,,,,,,,,,
10_STEAM,2020-07-10,49,Day-ahead,30,905.0000001,45.3,1166.1710001,60.700000036,1430.7810006805687,76.0,1873.2569996394486,,,,,,,,,,,,
10_STEAM,2020-07-10,50,Day-ahead,30,905.0000001,45.300000032,1125.3599999628836,60.700000036,1389.9699999936136,76.0,1669.7099999364018,,,,,,,,,,,,
10_STEAM,2020-07-10,51,Day-ahead,30,905.0000001,45.300000032,1125.3599999628836,60.700000036,1389.9699999936136,76.0,1813.4739989971335,,,,,,,,,,,,
10_STEAM,2020-07-10,52,Day-ahead,30,905.0000001,45.300000032,1125.3599999628836,60.700000036,1389.9699999936136,76.0,1797.7149990342136,,,,,,,,,,,,
10_STEAM,2020-07-10,53,Day-ahead,30,905.0000001,45.300000032,1125.3599999628836,60.700000036,1389.9699999936136,76.0,2817.7659966340934,,,,,,,,,,,,
10_STEAM,2020-07-10,54,Day-ahead,30,905.0000001,45.300000032,1125.3599999628836,60.700000036,1389.9699999936136,76.0,1669.7099999364018,,,,,,,,,,,,
10_STEAM,2020-07-10,55,Day-ahead,30,905.0000001,45.3,1167.7010000999999,60.700000036,1432.3110006805687,76.0,1712.051000623357,,,,,,,,,,,,
10_STEAM,2020-07-10,56,Day-ahead,30,905.0000001,45.300000032,1125.3599999628836,60.700000036,1389.9699999936136,76.0,1669.7099999364018,,,,,,,,,,,,
10_STEAM,2020-07-10,57,Day-ahead,30,905.0000001,45.300000032,1125.3599999628836,60.700000036,1389.9699999936136,76.0,1669.7099999364018,,,,,,,,,,,,
10_STEAM,2020-07-10,58,Day-ahead,30.0,267.3,45.300000032,487.65999986288364,60.700000036,752.2699998936134,76.0,1237.7389987513334,,,,,,,,,,,,
10_STEAM,2020-07-10,59,Day-ahead,30.0,627.3,45.300000032,847.6599998628836,60.700000036,1112.2699998936134,76.0,1392.0099998364017,,,,,,,,,,,,
10_STEAM,2020-07-10,60,Day-ahead,30,905.0000001,45.300000032,1125.3599999628836,60.700000036,1389.9699999936136,76.0,1669.7099999364018,,,,,,,,,,,,
